id,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie,data_godzina
235,12215,Szczecinek,2025-05-16,20:00:00,7.7,4.0,320.0,87.0,1.4,1010.4,2025-05-16 20:00:00
236,12510,Śnieżka,2025-05-16,20:00:00,-1.0,19.0,340.0,99.3,3.6,0.0,2025-05-16 20:00:00
237,12200,Świnoujście,2025-05-16,20:00:00,12.0,3.0,280.0,58.5,0.7,1014.0,2025-05-16 20:00:00
238,12575,Tarnów,2025-05-16,20:00:00,8.1,3.0,270.0,87.1,5.0,1010.7,2025-05-16 20:00:00
239,12399,Terespol,2025-05-16,20:00:00,5.9,2.0,190.0,88.7,0.3,1009.1,2025-05-16 20:00:00
240,12250,Toruń,2025-05-16,20:00:00,6.9,2.0,250.0,92.6,12.7,1007.2,2025-05-16 20:00:00
241,12115,Ustka,2025-05-16,20:00:00,9.9,12.0,340.0,77.5,0.0,1009.7,2025-05-16 20:00:00
242,12375,Warszawa,2025-05-16,20:00:00,5.3,1.0,180.0,91.9,8.2,1008.4,2025-05-16 20:00:00
243,12455,Wieluń,2025-05-16,20:00:00,7.5,2.0,250.0,87.6,0.1,1010.7,2025-05-16 20:00:00
244,12497,Włodawa,2025-05-16,20:00:00,6.0,3.0,240.0,86.9,2.7,1009.5,2025-05-16 20:00:00
245,12424,Wrocław,2025-05-16,20:00:00,9.8,3.0,290.0,89.0,10.3,1012.1,2025-05-16 20:00:00
246,12625,Zakopane,2025-05-16,20:00:00,4.8,1.0,280.0,81.9,7.7,0.0,2025-05-16 20:00:00
247,12595,Zamość,2025-05-16,20:00:00,6.0,2.0,260.0,91.9,4.5,1010.5,2025-05-16 20:00:00
248,12400,Zielona Góra,2025-05-16,20:00:00,9.2,3.0,330.0,72.7,7.9,1013.7,2025-05-16 20:00:00
